id,domain,citation_frequency_score,cross_vertical_score,first_position_score,direct_quote_score,query_diversity_score,temporal_consistency_score,content_type_diversity_score,geographic_reach_score,authority_score,authority_rank,total_citations,unique_verticals,first_position_citations,direct_quotes,unique_query_types,vertical_distribution,query_type_distribution,temporal_pattern,title,description,category,is_analyzed,last_analyzed,created_at,updated_at,total_citations_calc,unique_queries_cited
324,indeed.com,4.46584938704028,60.86956521739131,27.450980392156865,13.725490196078432,100.0,30.0,57.14285714285714,40.0,36.63771432581256,21,51,14,14,7,5,"{""saas"": 7, ""travel"": 3, ""banking"": 1, ""trading"": 2, ""insurance"": 1, ""investing"": 1, ""medical"": 7, ""nutrition"": 1, ""mobile_apps"": 2, ""marketing"": 4, ""startups"": 12, ""ecommerce"": 1, ""product_reviews"": 2, ""fashion"": 7}","{""guide"": 8, ""how_to"": 22, ""best"": 8, ""review"": 10, ""comparison"": 3}","{""2025-08-04"": 51}",,,commercial,1,2025-08-07 15:09:48.336012,2025-08-07 00:40:51,2025-08-07 15:11:18,51,50
125,qualtrics.com,11.120840630472854,100.0,0.0,6.299212598425196,60.0,30.0,42.857142857142854,40.0,36.55298856031788,22,127,23,0,8,3,"{""ai_ml"": 7, ""nutrition"": 4, ""mobile_apps"": 6, ""startups"": 12, ""banking"": 3, ""fintech"": 4, ""trading"": 4, ""insurance"": 5, ""investing"": 7, ""medical"": 4, ""fitness"": 3, ""mental_health"": 6, ""cybersecurity"": 5, ""cloud"": 4, ""saas"": 6, ""marketing"": 8, ""ecommerce"": 11, ""product_reviews"": 4, ""travel"": 6, ""booking"": 5, ""food"": 3, ""fashion"": 6, ""home_improvement"": 4}","{""review"": 110, ""guide"": 12, ""how_to"": 5}","{""2025-08-04"": 127}",,,commercial,1,2025-08-07 15:09:45.284781,2025-08-07 00:20:58,2025-08-07 15:11:18,127,127
233,arrowheadmb.com,7.880910683012258,95.65217391304348,46.666666666666664,6.666666666666667,20.0,30.0,14.285714285714285,40.0,36.48161483431415,23,90,22,42,6,1,"{""medical"": 2, ""banking"": 8, ""fintech"": 4, ""trading"": 5, ""insurance"": 3, ""investing"": 2, ""nutrition"": 5, ""mental_health"": 7, ""ai_ml"": 5, ""cybersecurity"": 4, ""cloud"": 8, ""mobile_apps"": 2, ""saas"": 4, ""marketing"": 2, ""startups"": 5, ""ecommerce"": 3, ""product_reviews"": 4, ""travel"": 4, ""booking"": 2, ""food"": 3, ""fashion"": 4, ""home_improvement"": 4}","{""comparison"": 90}","{""2025-08-04"": 90}",,,commercial,1,2025-08-07 15:09:46.991224,2025-08-07 00:35:10,2025-08-07 15:11:18,90,90
1208,frase.io,0.3502626970227671,17.391304347826086,100.0,100.0,20.0,30.0,14.285714285714285,40.0,36.28011225810662,24,4,4,4,4,1,"{""fintech"": 1, ""nutrition"": 1, ""cloud"": 1, ""travel"": 1}","{""comparison"": 4}","{""2025-08-04"": 4}",,,commercial,1,2025-08-07 15:10:01.968133,2025-08-07 02:53:23,2025-08-07 15:11:18,4,4
166,hbr.org,12.259194395796849,100.0,0.0,5.714285714285714,60.0,30.0,28.57142857142857,40.0,36.06479859894922,25,140,23,0,8,3,"{""marketing"": 13, ""cybersecurity"": 10, ""medical"": 7, ""cloud"": 3, ""startups"": 8, ""banking"": 8, ""fintech"": 7, ""trading"": 6, ""insurance"": 3, ""investing"": 2, ""nutrition"": 7, ""fitness"": 3, ""mental_health"": 4, ""ai_ml"": 8, ""mobile_apps"": 3, ""saas"": 6, ""ecommerce"": 5, ""product_reviews"": 5, ""travel"": 4, ""booking"": 4, ""food"": 7, ""fashion"": 13, ""home_improvement"": 4}","{""review"": 134, ""how_to"": 5, ""comparison"": 1}","{""2025-08-04"": 140}",,,government,1,2025-08-07 15:09:45.983560,2025-08-07 00:25:12,2025-08-07 15:11:18,140,140
77,cnet.com,12.084063047285463,65.21739130434783,12.318840579710146,2.898550724637681,100.0,30.0,57.14285714285714,40.0,36.05931803925408,26,138,15,17,4,5,"{""ai_ml"": 6, ""cybersecurity"": 20, ""cloud"": 12, ""mobile_apps"": 2, ""banking"": 2, ""fintech"": 6, ""medical"": 5, ""nutrition"": 5, ""fitness"": 13, ""mental_health"": 15, ""ecommerce"": 1, ""product_reviews"": 11, ""booking"": 1, ""food"": 23, ""home_improvement"": 16}","{""guide"": 9, ""comparison"": 37, ""best"": 58, ""how_to"": 14, ""review"": 20}","{""2025-08-04"": 138}",,,commercial,1,2025-08-07 15:09:44.481698,2025-08-07 00:19:19,2025-08-07 15:11:18,138,137
234,microsoft.com,8.669001751313484,95.65217391304348,0.0,6.0606060606060606,60.0,30.0,57.14285714285714,40.0,35.76088868364053,27,99,22,0,6,3,"{""medical"": 2, ""saas"": 8, ""banking"": 7, ""fintech"": 4, ""trading"": 5, ""insurance"": 3, ""investing"": 3, ""nutrition"": 5, ""mental_health"": 7, ""ai_ml"": 5, ""cybersecurity"": 5, ""cloud"": 12, ""mobile_apps"": 3, ""marketing"": 2, ""startups"": 5, ""ecommerce"": 3, ""product_reviews"": 4, ""travel"": 3, ""booking"": 2, ""food"": 3, ""fashion"": 4, ""home_improvement"": 4}","{""comparison"": 91, ""best"": 5, ""guide"": 3}","{""2025-08-04"": 99}",,,commercial,1,2025-08-07 15:09:47.020884,2025-08-07 00:35:10,2025-08-07 15:11:18,99,99
1583,metlife.com,0.17513134851138354,4.3478260869565215,100.0,100.0,40.0,30.0,14.285714285714285,40.0,35.62763376880486,28,2,1,2,2,2,"{""insurance"": 2}","{""guide"": 1, ""how_to"": 1}","{""2025-08-04"": 2}",,,commercial,1,2025-08-07 15:10:07.069472,2025-08-07 03:39:14,2025-08-07 15:11:18,2,2
390,destinationthink.com,0.08756567425569177,4.3478260869565215,100.0,100.0,20.0,50.0,14.285714285714285,40.0,35.605742350240945,79,1,1,1,1,1,"{""travel"": 1}","{""how_to"": 1}","{""2025-08-04"": 1}",,,commercial,1,2025-08-07 15:09:49.332735,2025-08-07 00:43:24,2025-08-07 15:11:18,1,1
449,setforset.com,0.08756567425569177,4.3478260869565215,100.0,100.0,20.0,50.0,14.285714285714285,40.0,35.605742350240945,78,1,1,1,1,1,"{""nutrition"": 1}","{""best"": 1}","{""2025-08-04"": 1}",,,commercial,1,2025-08-07 15:09:50.145244,2025-08-07 00:55:07,2025-08-07 15:11:18,1,1
